ID;Name;MW;SMILES
DB00153;Ergocalciferol;396.6484;CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00156;Threonine;119.1192;C[C@@H](O)[C@H](N)C(O)=O
DB00157;NADH;665.441;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00158;Folic acid;441.3975;NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
DB00159;Icosapent;302.451;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB00161;Valine;117.1463;CC(C)[C@H](N)C(O)=O
DB00162;Vitamin A;286.4516;C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00163;Vitamin E;430.7061;CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00165;Pyridoxine;169.1778;CC1=C(O)C(CO)=C(CO)C=N1
DB00166;Lipoic acid;206.326;OC(=O)CCCC[C@@H]1CCSS1
DB00169;Cholecalciferol;384.6377;CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00170;Menadione;172.18;CC1=CC(=O)C2=CC=CC=C2C1=O
DB00173;Adenine;135.1267;NC1=C2NC=NC2=NC=N1
DB00174;Asparagine;132.1179;N[C@@H](CC(N)=O)C(O)=O
DB00175;Pravastatin;424.5277;[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB00176;Fluvoxamine;318.34;COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177;Valsartan;435.5188;CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00178;Ramipril;416.5106;[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB00179;Masoprocol;302.3649;C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
DB00180;Flunisolide;434.4977;[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
DB00181;Baclofen;213.661;NCC(CC(O)=O)C1=CC=C(Cl)C=C1
DB00182;Amphetamine;135.2062;CC(N)CC1=CC=CC=C1
DB00183;Pentagastrin;767.9;CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
DB00184;Nicotine;162.2316;CN1CCC[C@H]1C1=CN=CC=C1
DB00185;Cevimeline;199.313;CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186;Lorazepam;321.158;OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00187;Esmolol;295.374;COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00188;Bortezomib;384.237;CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00189;Ethchlorvynol;144.6;CCC(O)(\C=C\Cl)C#C
DB00190;Carbidopa;226.2292;C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00191;Phentermine;149.2328;CC(C)(N)CC1=CC=CC=C1
DB00192;Indecainide;308.4174;CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB00193;Tramadol;263.381;COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
DB00194;Vidarabine;267.2413;NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195;Betaxolol;307.4278;CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DB00196;Fluconazole;306.2708;OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB00197;Troglitazone;441.54;CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB00198;Oseltamivir;312.4045;CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199;Erythromycin;733.9268;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200;Hydroxocobalamin;1346.3551;[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
DB00201;Caffeine;194.1906;CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DB00202;Succinylcholine;290.399;C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203;Sildenafil;474.576;CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
DB00204;Dofetilide;441.565;CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
DB00205;Pyrimethamine;248.711;CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
DB00206;Reserpine;608.6787;[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DB00207;Azithromycin;748.9845;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208;Ticlopidine;263.786;ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
DB00209;Trospium;392.518;[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
DB00210;Adapalene;412.5201;COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00211;Midodrine;254.2823;COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
DB00213;Pantoprazole;383.37;COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB00214;Torasemide;348.42;CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
DB00215;Citalopram;324.3919;CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00216;Eletriptan;382.519;CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00217;Bethanidine;177.2462;CN\C(NCC1=CC=CC=C1)=N/C
DB00218;Moxifloxacin;401.4314;[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
DB00219;Oxyphenonium;348.4996;CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
DB00220;Nelfinavir;567.782;[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
DB00221;Isoetharine;239.3107;CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00222;Glimepiride;490.62;CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
DB00223;Diflorasone;410.4515;[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00224;Indinavir;613.7895;CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00225;Gadodiamide;573.66;[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
DB00226;Guanadrel;213.2768;NC(N)=NCC1COC2(CCCCC2)O1
DB00227;Lovastatin;404.5396;[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
DB00228;Enflurane;184.492;FC(F)OC(F)(F)C(F)Cl
DB00229;Cefotiam;525.628;[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
DB00230;Pregabalin;159.2261;CC(C)C[C@H](CN)CC(O)=O
DB00231;Temazepam;300.74;CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00233;Aminosalicylic acid;153.1354;NC1=CC(O)=C(C=C1)C(O)=O
DB00234;Reboxetine;313.397;[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB00235;Milrinone;211.2194;CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
DB00236;Pipobroman;356.054;BrCCC(=O)N1CCN(CC1)C(=O)CCBr
DB00237;Butabarbital;212.2456;CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238;Nevirapine;266.2979;CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
DB00239;Oxiconazole;429.12;ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
DB00240;Alclometasone;408.916;[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
DB00241;Butalbital;224.2563;CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
DB00242;Cladribine;285.687;NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
DB00243;Ranolazine;427.5365;COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00244;Mesalazine;153.1354;NC1=CC(C(O)=O)=C(O)C=C1
DB00245;Benzatropine;307.4293;[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
DB00246;Ziprasidone;412.936;ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB00247;Methysergide;353.458;[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
DB00248;Cabergoline;451.6043;[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00249;Idoxuridine;354.0985;OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
DB00250;Dapsone;248.301;NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
DB00251;Terconazole;532.47;CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
DB00252;Phenytoin;252.268;O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00253;Medrysone;344.4877;[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DB00254;Doxycycline;444.4346;[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
DB00255;Diethylstilbestrol;268.356;CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
DB00256;Lymecycline;602.6328;[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
DB00257;Clotrimazole;344.837;ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00258;Calcium acetate;158.166;[Ca++].CC([O-])=O.CC([O-])=O
DB00259;Sulfanilamide;172.205;NC1=CC=C(C=C1)S(N)(=O)=O
DB00260;Cycloserine;102.0919;N[C@@H]1CONC1=O
DB00261;Anagrelide;256.088;ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
DB00262;Carmustine;214.05;ClCCNC(=O)N(CCCl)N=O
DB00263;Sulfisoxazole;267.304;CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
DB00264;Metoprolol;267.3639;COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00265;Crotamiton;203.2802;CCN(C(=O)C=CC)C1=CC=CC=C1C
DB00266;Dicoumarol;336.295;OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
DB00267;Cefmenoxime;511.558;[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
DB00268;Ropinirole;260.3746;CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00270;Isradipine;371.3871;COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
DB00271;Diatrizoate;613.9136;CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
DB00272;Betazole;111.1451;NCCC1=CC=NN1
DB00273;Topiramate;339.362;[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
DB00274;Cefmetazole;471.534;[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
DB00275;Olmesartan;446.5016;CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
DB00276;Amsacrine;393.459;COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
DB00277;Theophylline;180.164;CN1C2=C(NC=N2)C(=O)N(C)C1=O
DB00278;Argatroban;508.64;C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
DB00279;Liothyronine;650.9735;N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
DB00280;Disopyramide;339.4745;CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
DB00281;Lidocaine;234.3373;CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
DB00282;Pamidronic acid;235.0695;NCCC(O)(P(O)(O)=O)P(O)(O)=O
DB00283;Clemastine;343.89;CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
DB00284;Acarbose;645.608;[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
DB00285;Venlafaxine;277.4018;COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
DB00287;Travoprost;500.5477;CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
DB00288;Amcinonide;502.5717;[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB00289;Atomoxetine;255.3547;CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
DB00290;Bleomycin;1415.552;[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O
DB00291;Chlorambucil;304.212;OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
DB00292;Etomidate;244.289;CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
DB00293;Raltitrexed;458.488;CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
DB00294;Etonogestrel;324.4565;[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
DB00295;Morphine;285.3377;[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
DB00296;Ropivacaine;274.4011;CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
DB00297;Bupivacaine;288.4277;CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
DB00298;Dapiprazole;325.4512;CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1
DB00299;Penciclovir;253.2578;NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
DB00300;Tenofovir disoproxil;519.448;[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C
DB00301;Flucloxacillin;453.872;[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O
DB00302;Tranexamic acid;157.2102;NC[C@H]1CC[C@@H](CC1)C(O)=O
