ID;Name;MW;H_Donors;H_Acceptors;LogP;TPSA;Heavy_Atoms;Lipinski;SMILES
DB00119;Pyruvic acid;88.0621;1.0;2.0;-0.3399999999999999;54.37;6.0;1;CC(=O)C(O)=O
DB00120;Phenylalanine;165.1891;2.0;2.0;0.641;63.32;12.0;1;N[C@@H](CC1=CC=CC=C1)C(O)=O
DB00121;Biotin;244.311;3.0;3.0;0.7968;78.43;16.0;1;[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB00122;Choline;104.1708;1.0;1.0;-0.3150999999999999;20.23;7.0;1;C[N+](C)(C)CCO
DB00123;Lysine;146.1876;3.0;3.0;-0.4726999999999995;89.34;10.0;1;NCCCC[C@H](N)C(O)=O
DB00126;Ascorbic acid;176.1241;4.0;6.0;-1.4074;107.22000000000001;12.0;1;[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
DB00128;Aspartic acid;133.1027;3.0;3.0;-1.127;100.62;9.0;1;N[C@@H](CC(O)=O)C(O)=O
DB00129;Ornithine;132.161;3.0;3.0;-0.8627999999999991;89.34;9.0;1;NCCC[C@H](N)C(O)=O
DB00130;L-Glutamine;146.1445;3.0;3.0;-1.3361999999999998;106.41;10.0;1;N[C@@H](CCC(N)=O)C(O)=O
DB00131;Adenosine phosphate;347.2212;5.0;10.0;-1.8630000000000004;186.07;23.0;1;NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB00132;alpha-Linolenic acid;278.4296;1.0;1.0;5.660500000000005;37.3;20.0;0;CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
DB00134;Methionine;149.211;2.0;3.0;0.1513999999999998;63.32;9.0;1;CSCC[C@H](N)C(O)=O
DB00135;Tyrosine;181.1885;3.0;3.0;0.3466000000000001;83.55000000000001;13.0;1;[H][C@](N)(CC1=CC=C(O)C=C1)C(O)=O
DB00136;Calcitriol;416.6365;3.0;3.0;5.704700000000008;60.69;30.0;0;C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
DB00137;Lutein;568.886;2.0;2.0;10.403299999999993;40.46;42.0;0;C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
DB00138;Cystine;240.3;4.0;6.0;-0.8083999999999993;126.64000000000001;14.0;1;N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
DB00139;Succinic acid;118.088;2.0;2.0;-0.06419999999999987;74.6;8.0;1;OC(=O)CCC(O)=O
DB00140;Riboflavin;376.3639;5.0;9.0;-1.7235599999999993;161.56;27.0;1;CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
DB00141;N-Acetylglucosamine;221.2078;5.0;6.0;-3.234999999999999;127.09000000000002;15.0;1;[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00142;Glutamic acid;147.1293;3.0;3.0;-0.7369000000000001;100.62;10.0;1;N[C@@H](CCC(O)=O)C(O)=O
DB00143;Glutathione;307.323;6.0;6.0;-2.2060999999999984;158.82;20.0;0;N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00145;Glycine;75.0666;2.0;2.0;-0.9702999999999999;63.32;5.0;1;NCC(O)=O
DB00146;Calcifediol;400.6371;2.0;2.0;6.733900000000008;40.46;29.0;0;C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00148;Creatine;131.1332;3.0;2.0;-1.1037299999999988;90.41;9.0;1;CN(CC(O)=O)C(N)=N
DB00150;Tryptophan;204.2252;3.0;2.0;1.1223;79.11000000000001;15.0;1;N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
DB00151;Cysteine;121.158;3.0;3.0;-0.6719000000000002;63.32;7.0;1;N[C@@H](CS)C(O)=O
DB00152;Thiamine;265.355;2.0;5.0;0.6077400000000001;75.91;18.0;1;CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
DB00153;Ergocalciferol;396.6484;1.0;1.0;7.641000000000009;20.23;29.0;0;CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00156;Threonine;119.1192;3.0;3.0;-1.2208999999999997;83.55000000000001;8.0;1;C[C@@H](O)[C@H](N)C(O)=O
DB00157;NADH;665.441;8.0;18.0;-2.6863999999999977;317.62;44.0;0;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00158;Folic acid;441.3975;6.0;9.0;-0.04479999999999951;213.27999999999994;32.0;0;NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
DB00159;Icosapent;302.451;1.0;1.0;5.9927000000000055;37.3;22.0;0;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB00161;Valine;117.1463;2.0;2.0;0.05430000000000007;63.32;8.0;1;CC(C)[C@H](N)C(O)=O
DB00162;Vitamin A;286.4516;1.0;1.0;5.510300000000005;20.23;21.0;0;C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00163;Vitamin E;430.7061;1.0;2.0;8.840260000000002;29.46;31.0;0;CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00165;Pyridoxine;169.1778;3.0;4.0;0.0802199999999999;73.58;12.0;1;CC1=C(O)C(CO)=C(CO)C=N1
DB00166;Lipoic acid;206.326;1.0;3.0;2.7851000000000017;37.3;12.0;1;OC(=O)CCCC[C@@H]1CCSS1
DB00169;Cholecalciferol;384.6377;1.0;1.0;7.6190000000000095;20.23;28.0;0;CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00170;Menadione;172.18;0.0;2.0;2.0119000000000002;34.14;13.0;1;CC1=CC(=O)C2=CC=CC=C2C1=O
DB00173;Adenine;135.1267;2.0;4.0;-0.0648999999999999;80.48;10.0;1;NC1=C2NC=NC2=NC=N1
DB00174;Asparagine;132.1179;3.0;3.0;-1.7263000000000002;106.41;9.0;1;N[C@@H](CC(N)=O)C(O)=O
DB00175;Pravastatin;424.5277;4.0;6.0;2.4404000000000003;124.29000000000002;30.0;1;[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB00176;Fluvoxamine;318.34;1.0;4.0;3.201500000000001;56.84;22.0;1;COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177;Valsartan;435.5188;2.0;5.0;4.161700000000002;112.07000000000002;32.0;1;CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00178;Ramipril;416.5106;2.0;5.0;2.3831999999999995;95.94000000000001;30.0;1;[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB00179;Masoprocol;302.3649;4.0;4.0;3.5664000000000033;80.92;22.0;1;C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
DB00180;Flunisolide;434.4977;2.0;6.0;2.2747000000000006;93.06000000000002;31.0;1;[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
DB00181;Baclofen;213.661;2.0;2.0;1.857;63.32;14.0;1;NCC(CC(O)=O)C1=CC=C(Cl)C=C1
DB00182;Amphetamine;135.2062;1.0;1.0;1.5763;26.02;10.0;1;CC(N)CC1=CC=CC=C1
DB00183;Pentagastrin;767.9;8.0;9.0;1.5202000000000044;250.91;54.0;0;CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
DB00184;Nicotine;162.2316;0.0;2.0;1.8483;16.130000000000003;12.0;1;CN1CCC[C@H]1C1=CN=CC=C1
DB00185;Cevimeline;199.313;0.0;3.0;1.5602;12.47;13.0;1;CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186;Lorazepam;321.158;2.0;3.0;3.101300000000001;61.690000000000005;21.0;1;OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00187;Esmolol;295.374;2.0;5.0;1.5298999999999996;67.79;21.0;1;COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00188;Bortezomib;384.237;4.0;6.0;0.36059999999999964;124.44000000000001;28.0;1;CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00189;Ethchlorvynol;144.6;1.0;1.0;1.5131999999999999;20.23;9.0;1;CCC(O)(\C=C\Cl)C#C
DB00190;Carbidopa;226.2292;5.0;5.0;-0.05310000000000015;115.81;16.0;1;C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00191;Phentermine;149.2328;1.0;1.0;1.9664;26.02;11.0;1;CC(C)(N)CC1=CC=CC=C1
DB00192;Indecainide;308.4174;2.0;2.0;3.2166000000000015;55.12;23.0;1;CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB00193;Tramadol;263.381;1.0;3.0;2.6346000000000007;32.7;19.0;1;COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
DB00194;Vidarabine;267.2413;4.0;9.0;-1.9800000000000006;139.54000000000002;19.0;1;NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195;Betaxolol;307.4278;2.0;4.0;2.3933999999999997;50.72;22.0;1;CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DB00196;Fluconazole;306.2708;1.0;7.0;0.7357999999999993;81.64999999999999;22.0;1;OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB00197;Troglitazone;441.54;2.0;6.0;4.374260000000004;84.86;31.0;1;CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB00198;Oseltamivir;312.4045;2.0;5.0;1.2853999999999997;90.64999999999999;22.0;1;CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199;Erythromycin;733.9268;5.0;14.0;1.785600000000004;193.91;51.0;0;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200;Hydroxocobalamin;1346.3551;10.0;17.0;-0.21626000000000883;437.2300000000001;92.0;0;[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
DB00201;Caffeine;194.1906;0.0;6.0;-1.0293;61.82;14.0;1;CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DB00202;Succinylcholine;290.399;0.0;4.0;0.2654000000000025;52.60000000000001;20.0;1;C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203;Sildenafil;474.576;1.0;8.0;1.6109;113.41999999999999;33.0;1;CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
DB00204;Dofetilide;441.565;2.0;6.0;1.9828999999999997;104.81;29.0;1;CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
DB00205;Pyrimethamine;248.711;2.0;4.0;2.5238000000000005;77.82;17.0;1;CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
DB00206;Reserpine;608.6787;1.0;10.0;4.171100000000003;117.78000000000002;44.0;0;[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DB00207;Azithromycin;748.9845;5.0;14.0;1.9007000000000054;180.08;52.0;0;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208;Ticlopidine;263.786;0.0;2.0;3.959800000000002;3.24;17.0;1;ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
DB00209;Trospium;392.518;1.0;3.0;3.769700000000003;46.53;29.0;1;[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
DB00210;Adapalene;412.5201;1.0;2.0;6.681400000000005;46.53;31.0;0;COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00211;Midodrine;254.2823;3.0;5.0;-0.1878999999999995;93.81;18.0;1;COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
DB00213;Pantoprazole;383.37;1.0;6.0;2.8843000000000014;86.33000000000001;26.0;1;COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB00214;Torasemide;348.42;3.0;5.0;2.5299200000000006;100.19000000000001;24.0;1;CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
DB00215;Citalopram;324.3919;0.0;3.0;3.812980000000003;36.26;24.0;1;CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00216;Eletriptan;382.519;1.0;3.0;3.8210000000000024;53.17;27.0;1;CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00217;Bethanidine;177.2462;2.0;1.0;0.9813999999999993;36.42;13.0;1;CN\C(NCC1=CC=CC=C1)=N/C
DB00218;Moxifloxacin;401.4314;2.0;6.0;2.3705;83.80000000000001;29.0;1;[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
DB00219;Oxyphenonium;348.4996;1.0;3.0;3.4841000000000015;46.53;25.0;1;CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
DB00220;Nelfinavir;567.782;4.0;6.0;4.747620000000004;101.9;40.0;0;[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
DB00221;Isoetharine;239.3107;4.0;4.0;1.9077999999999995;72.72;17.0;1;CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00222;Glimepiride;490.62;3.0;5.0;3.0740000000000016;124.68;34.0;1;CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
DB00223;Diflorasone;410.4515;3.0;5.0;1.8437000000000001;94.83000000000001;29.0;1;[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00224;Indinavir;613.7895;4.0;7.0;2.866900000000002;118.03000000000002;45.0;0;CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00225;Gadodiamide;573.66;2.0;11.0;-7.365900000000009;188.31;30.0;0;[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
DB00226;Guanadrel;213.2768;2.0;3.0;0.3355999999999997;82.86000000000001;15.0;1;NC(N)=NCC1COC2(CCCCC2)O1
DB00227;Lovastatin;404.5396;1.0;5.0;4.195500000000004;72.83000000000001;29.0;1;[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
DB00228;Enflurane;184.492;0.0;1.0;2.3528000000000002;9.23;10.0;1;FC(F)OC(F)(F)C(F)Cl
DB00229;Cefotiam;525.628;3.0;13.0;-0.6531999999999965;172.45999999999998;34.0;0;[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
DB00230;Pregabalin;159.2261;2.0;2.0;1.0821;63.32;11.0;1;CC(C)C[C@H](CN)CC(O)=O
DB00231;Temazepam;300.74;1.0;3.0;2.4722;52.9;21.0;1;CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00233;Aminosalicylic acid;153.1354;3.0;3.0;0.6726000000000001;83.55000000000001;11.0;1;NC1=CC(O)=C(C=C1)C(O)=O
DB00234;Reboxetine;313.397;1.0;4.0;3.193800000000002;39.72;23.0;1;[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB00235;Milrinone;211.2194;1.0;3.0;1.6169999999999998;69.53999999999999;16.0;1;CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
DB00236;Pipobroman;356.054;0.0;2.0;1.2272;40.620000000000005;16.0;1;BrCCC(=O)N1CCN(CC1)C(=O)CCBr
DB00237;Butabarbital;212.2456;2.0;3.0;0.7948999999999999;75.27000000000001;15.0;1;CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238;Nevirapine;266.2979;1.0;4.0;2.6512200000000012;58.120000000000005;20.0;1;CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
DB00239;Oxiconazole;429.12;0.0;4.0;6.1178000000000035;39.41;26.0;0;ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
DB00240;Alclometasone;408.916;3.0;5.0;2.0209;94.83000000000001;28.0;1;[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
DB00241;Butalbital;224.2563;2.0;3.0;0.9609999999999999;75.27000000000001;16.0;1;CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
DB00242;Cladribine;285.687;3.0;8.0;-0.2973999999999998;119.31;19.0;1;NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
DB00243;Ranolazine;427.5365;2.0;6.0;2.30804;74.27;31.0;1;COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00244;Mesalazine;153.1354;3.0;3.0;0.6726000000000001;83.55;11.0;1;NC1=CC(C(O)=O)=C(O)C=C1
DB00245;Benzatropine;307.4293;0.0;2.0;4.417800000000003;12.47;23.0;1;[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
DB00246;Ziprasidone;412.936;1.0;5.0;3.809000000000002;48.47;28.0;1;ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB00247;Methysergide;353.458;2.0;4.0;1.9350999999999998;57.5;26.0;1;[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
DB00248;Cabergoline;451.6043;2.0;4.0;3.193900000000001;71.68;33.0;1;[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00249;Idoxuridine;354.0985;3.0;6.0;-1.2181;104.54999999999998;17.0;1;OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
DB00250;Dapsone;248.301;2.0;4.0;1.6838000000000002;86.18;17.0;1;NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
DB00251;Terconazole;532.47;0.0;8.0;4.462700000000004;64.88000000000001;36.0;0;CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
DB00252;Phenytoin;252.268;2.0;2.0;1.7695999999999998;58.2;19.0;1;O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
